City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Kahului,US,2021-07-24 21:51:25,20.8947,-156.47,87.82,77,40,21.85
157,Lahaina,US,2021-07-24 21:51:25,20.8783,-156.6825,87.8,88,13,8.43
158,Yellowknife,CA,2021-07-24 21:49:41,62.456,-114.3525,57.33,50,75,6.91
159,Nioki,CD,2021-07-24 21:51:26,-2.7167,17.6833,75.72,39,12,2.64
160,Opuwo,NA,2021-07-24 21:51:26,-18.0607,13.84,57.51,15,0,7.96
161,Carballo,ES,2021-07-24 21:51:26,43.213,-8.691,64.0,92,47,2.98
162,Bengkulu,ID,2021-07-24 21:51:27,-3.8004,102.2655,74.98,86,29,5.19
163,Verkhnyaya Toyma,RU,2021-07-24 21:51:27,62.2349,44.9985,47.84,75,95,4.85
164,Naze,JP,2021-07-24 21:51:28,28.3667,129.4833,79.72,92,100,23.62
165,Olutanga,PH,2021-07-24 21:51:28,7.3106,122.8464,83.07,77,86,10.38
166,Adrar,MR,2021-07-24 21:51:28,20.5022,-10.0711,93.76,25,55,8.52
167,Zhigansk,RU,2021-07-24 21:51:29,66.7697,123.3711,59.27,70,34,16.62
168,Vila Franca Do Campo,PT,2021-07-24 21:51:29,37.7167,-25.4333,72.01,91,20,6.44
169,Roma,US,2021-07-24 21:48:33,43.2128,-75.4557,81.84,54,1,8.05
170,Hasaki,JP,2021-07-24 21:51:30,35.7333,140.8333,77.4,80,0,9.66
171,Rawson,AR,2021-07-24 21:51:30,-43.3002,-65.1023,47.64,44,100,15.37
172,Gualaquiza,EC,2021-07-24 21:51:30,-3.4,-78.55,76.82,56,44,3.38
173,Salonta,RO,2021-07-24 21:51:31,46.8,21.65,68.49,52,35,5.93
174,Mangotsfield,GB,2021-07-24 21:51:31,51.4878,-2.504,66.58,86,90,9.22
175,Chemodanovka,RU,2021-07-24 21:51:32,53.2316,45.2474,61.43,42,50,2.04
176,Shingu,JP,2021-07-24 21:51:32,33.7333,135.9833,77.92,78,79,4.92
177,Bay City,US,2021-07-24 21:51:32,43.5945,-83.8889,84.69,94,90,6.91
178,Wanning,CN,2021-07-24 21:51:33,18.8003,110.3967,79.03,85,29,7.92
179,Khudaganj,IN,2021-07-24 21:51:33,28.15,79.7167,83.44,78,19,6.33
180,Liuzhou,CN,2021-07-24 21:51:33,24.3126,109.3892,77.7,88,22,3.15
181,Ribeira Grande,PT,2021-07-24 21:51:34,38.5167,-28.7,72.19,91,69,9.06
182,Chipinge,ZW,2021-07-24 21:51:34,-20.1883,32.6236,45.97,86,49,4.09
183,Rio Grande,BR,2021-07-24 21:51:34,-32.035,-52.0986,64.51,71,67,5.26
184,Kavieng,PG,2021-07-24 21:51:35,-2.5744,150.7967,82.83,75,17,9.28
185,Lagoa,PT,2021-07-24 21:51:35,39.05,-27.9833,69.84,91,49,13.8
186,Saint-Augustin,CA,2021-07-24 21:51:36,51.226,-58.6502,56.77,69,4,7.61
187,Nyandoma,RU,2021-07-24 21:51:36,61.669,40.1991,50.9,66,100,5.5
188,Bandarbeyla,SO,2021-07-24 21:51:36,9.4942,50.8122,77.04,76,31,27.58
189,Flinders,AU,2021-07-24 21:51:37,-34.5833,150.8552,51.21,60,35,8.99
190,Gamba,GA,2021-07-24 21:51:37,-2.65,10.0,70.61,84,66,4.94
191,Machico,PT,2021-07-24 21:51:38,32.7,-16.7667,73.71,78,20,19.57
192,Andenes,NO,2021-07-24 21:51:38,69.3143,16.1194,53.08,100,90,4.61
193,Brownsville,US,2021-07-24 21:49:41,25.9018,-97.4975,93.88,52,1,7.0
194,Bogo,PH,2021-07-24 21:51:39,11.0517,124.0055,80.87,74,65,13.6
195,Tuktoyaktuk,CA,2021-07-24 21:51:39,69.4541,-133.0374,64.4,48,75,14.97
196,Manuk Mangkaw,PH,2021-07-24 21:51:39,4.8,119.85,84.15,79,89,15.95
197,Quatre Cocos,MU,2021-07-24 21:51:40,-20.2078,57.7625,69.91,80,24,10.47
198,Kamenka,RU,2021-07-24 21:51:40,51.3223,42.7678,60.71,70,65,6.89
199,Bahawalpur,PK,2021-07-24 21:51:40,29.4,71.6833,97.48,41,43,4.97
200,Avarua,CK,2021-07-24 21:51:40,-21.2078,-159.775,78.85,65,19,9.22
201,Thompson,CA,2021-07-24 21:51:41,55.7435,-97.8558,69.96,64,75,11.5
202,Demyansk,RU,2021-07-24 21:51:41,57.643,32.466,55.11,69,52,3.69
