City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Portland,US,87.53,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
500,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
501,Umarkot,PK,86.5,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
503,Naze,JP,77.86,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
506,Deer Lake,CA,75.06,scattered clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
512,Dingle,PH,77.14,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
513,Mayskiy,RU,78.44,clear sky,47.6931,40.1025,Dio Lakrua
520,Canto Do Buriti,BR,88.0,clear sky,-8.11,-42.9444,Novo Hotel
522,Khlung,TH,82.94,overcast clouds,12.4547,102.2214,Bai Phai Resort
529,Dolzhanskaya,RU,80.33,clear sky,46.6311,37.8039,"Park-hotel ""Ryba-Kit"""
531,Iracoubo,GF,80.98,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
534,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
537,Axim,GH,76.1,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
539,Cedar City,US,84.18,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
541,Kirakira,SB,78.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
542,Moorhead,US,89.98,clear sky,46.8739,-96.7676,"Courtyard by Marriott Fargo Moorhead, MN"
544,Mantua,IT,84.52,overcast clouds,45.1667,10.7833,Hotel la Favorita
546,Idlib,SY,78.19,clear sky,35.9306,36.6339,مركز تسيل للتجميل
547,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
550,Poso,ID,75.88,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
554,Murdochville,CA,76.08,overcast clouds,48.9583,-65.5006,Les Suites économique Murdochville
555,Nalgonda,IN,80.78,scattered clouds,17.05,79.2667,Sai Krishna Residency
558,Kaita,JP,75.16,broken clouds,34.3667,132.55,Hiroshima Hotel / La Michel Funakoshi
559,Mahibadhoo,MV,82.02,overcast clouds,3.7833,72.9667,Omadhoo Inn
560,Mangrol,IN,80.08,light rain,21.1167,70.1167,Hotel The Royal Honours
562,Bluefields,NI,86.07,scattered clouds,12.0137,-83.7635,Flamingo Hotel and Casino
563,Abeche,TD,79.12,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
565,Bull Savanna,JM,81.48,broken clouds,17.8868,-77.5902,Big Red's
566,Pijijiapan,MX,87.58,few clouds,15.7011,-93.23,Hotel Rosita
568,Fukue,JP,79.57,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
572,Rafraf,TN,88.12,scattered clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
573,Nara,JP,78.26,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
575,Kushima,JP,80.11,overcast clouds,31.4583,131.2333,Hanaoka
579,Puerto Ayacucho,VE,83.19,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
