,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Zhezkazgan,KZ,47.8043,67.7144,77.72,39,0,19.98,clear sky
172,Celestun,MX,20.8667,-90.4,86.54,64,95,12.95,overcast clouds
173,Port Hedland,AU,-20.3167,118.5667,59.05,82,97,5.75,overcast clouds
174,Sept-Iles,CA,50.2001,-66.3821,68.52,82,75,11.01,broken clouds
175,Farrukhnagar,IN,17.0778,78.2011,76.71,86,63,17.31,broken clouds
176,Akita,JP,39.7167,140.1167,73.45,88,49,8.39,scattered clouds
177,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
178,Perigueux,FR,45.1833,0.7167,71.01,73,100,4.5,overcast clouds
179,Tasiilaq,GL,65.6145,-37.6368,46.56,86,55,5.64,broken clouds
180,Iwanai,JP,42.9744,140.5089,68.29,96,34,5.77,scattered clouds
181,Mahebourg,MU,-20.4081,57.7,70.09,64,20,12.66,few clouds
182,Tual,ID,-5.6667,132.75,79.81,79,56,18.77,broken clouds
183,Medicine Hat,CA,50.0501,-110.6683,85.57,28,75,5.75,smoke
184,Teacapan,MX,22.55,-105.75,88.21,65,24,11.48,few clouds
185,La Cruz,MX,23.9167,-106.9,88.39,68,74,9.15,broken clouds
186,Hithadhoo,MV,-0.6,73.0833,80.92,75,78,4.5,moderate rain
187,Blagoyevo,RU,63.3667,47.9167,48.47,98,50,4.16,scattered clouds
188,Jardim,BR,-21.4803,-56.1381,92.26,23,0,8.95,clear sky
189,Mizque,BO,-17.941,-65.3402,79.12,28,4,12.3,clear sky
190,Yangcun,CN,39.3639,117.0603,80.58,79,75,4.72,broken clouds
191,Mogadishu,SO,2.0371,45.3438,76.55,77,91,20.45,light rain
192,Kutum,SD,14.2,24.6667,72.09,73,100,9.71,overcast clouds
193,Mingshui,CN,36.7167,117.5,76.06,73,17,5.82,few clouds
194,Alta Floresta,BR,-9.8756,-56.0861,94.82,29,40,6.91,scattered clouds
195,Progreso,MX,21.2833,-89.6667,92.1,64,94,9.75,overcast clouds
196,Pisco,PE,-13.7,-76.2167,66.25,72,20,9.22,few clouds
197,Sao Filipe,CV,14.8961,-24.4956,74.35,75,77,9.51,broken clouds
198,Walvis Bay,NA,-22.9575,14.5053,77.95,12,8,13.8,clear sky
199,Nyurba,RU,63.2842,118.3319,61.99,76,6,4.88,clear sky
200,Sinegorye,RU,62.0788,150.477,56.35,95,100,3.36,light rain
201,Touros,BR,-5.1989,-35.4608,83.3,73,7,14.94,clear sky
202,Saint Anthony,US,45.0205,-93.218,93.25,27,1,4.0,clear sky
203,Margate,GB,51.3813,1.3862,67.03,84,45,1.01,scattered clouds
204,Chimore,BO,-16.9833,-65.1333,91.17,31,9,6.17,clear sky
205,Towada,JP,40.6127,141.2067,69.21,92,86,3.53,overcast clouds
206,Bandarbeyla,SO,9.4942,50.8122,76.3,79,0,26.19,clear sky
207,Remuna,IN,21.5261,86.8722,84.4,73,99,5.68,overcast clouds
208,Trairi,BR,-3.2778,-39.2689,80.28,68,17,12.71,few clouds
209,Manzhouli,CN,49.6,117.4333,55.22,89,13,5.35,few clouds
210,Shingu,JP,33.7333,135.9833,73.9,80,0,4.85,clear sky
211,Rodrigues Alves,BR,-7.738,-72.6509,89.8,41,72,2.8,broken clouds
212,Akdepe,TM,42.0551,59.3788,91.4,35,0,13.98,clear sky
213,Thompson,CA,55.7435,-97.8558,60.96,44,40,12.66,scattered clouds
214,Mandalgovi,MN,45.7625,106.2708,60.1,78,100,12.01,overcast clouds
215,Skjervoy,NO,70.0311,20.9714,51.8,97,100,3.38,light rain
216,Alberton,CA,46.8168,-64.0654,75.33,54,17,15.21,few clouds
217,The Pas,CA,53.8251,-101.2541,69.82,60,75,9.64,broken clouds
218,Benguela,AO,-12.5763,13.4055,70.41,82,66,5.39,broken clouds
219,Cape Coast,GH,5.1053,-1.2466,75.63,80,15,13.0,few clouds
220,Pevek,RU,69.7008,170.3133,34.74,91,100,8.23,overcast clouds
221,Namibe,AO,-15.1961,12.1522,66.6,87,0,4.92,clear sky
222,Korla,CN,41.7597,86.1469,86.58,13,0,8.01,clear sky
223,Minas Novas,BR,-17.2186,-42.5903,76.15,28,0,6.87,clear sky
224,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,64,0,21.85,clear sky
225,Znamenskoye,RU,57.1281,73.8282,55.47,96,100,12.03,overcast clouds
226,Brasilia,BR,-15.7797,-47.9297,76.62,38,0,6.91,clear sky
227,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,12.66,clear sky
228,Thunder Bay,CA,48.4001,-89.3168,87.71,27,75,14.97,broken clouds
229,Whitehorse,CA,60.7161,-135.0538,66.09,44,75,3.0,broken clouds
230,Tateyama,JP,34.9833,139.8667,80.02,83,82,9.22,broken clouds
231,Sao Sebastiao,BR,-23.76,-45.4097,71.06,62,0,3.13,clear sky
232,Ixtapa,MX,20.7,-105.2,90.23,66,1,10.36,clear sky
233,Cody,US,44.5263,-109.0565,93.2,20,1,10.36,clear sky
234,Bethel,US,41.3712,-73.414,81.19,81,75,1.99,broken clouds
235,Yamada,JP,39.4667,141.95,70.21,89,93,4.85,overcast clouds
236,Hambantota,LK,6.1241,81.1185,79.92,79,99,17.69,overcast clouds
237,Esso,RU,55.9333,158.7,60.91,84,40,3.27,scattered clouds
238,Lagoa,PT,39.05,-27.9833,70.23,77,100,12.28,overcast clouds
239,Karla,EE,59.3723,24.9275,67.96,70,0,4.61,clear sky
240,Pangnirtung,CA,66.1451,-65.7125,46.4,100,90,2.3,overcast clouds
241,Gwadar,PK,25.1216,62.3254,82.24,87,98,8.28,overcast clouds
242,Tocopilla,CL,-22.092,-70.1979,63.86,71,100,9.8,overcast clouds
243,Severo-Kurilsk,RU,50.6789,156.125,55.06,97,86,3.8,overcast clouds
244,Tempio Pausania,IT,40.8974,9.1035,77.92,57,63,3.65,broken clouds
245,Witu,KE,-2.3889,40.4382,77.16,75,7,17.94,clear sky
246,Westport,US,41.1415,-73.3579,83.28,84,90,1.01,overcast clouds
247,Katherine,AU,-14.4667,132.2667,66.52,77,77,8.05,broken clouds
248,Iqaluit,CA,63.7506,-68.5145,47.93,93,75,2.3,broken clouds
249,Rivadavia,AR,-33.1905,-68.4608,61.27,25,0,7.54,clear sky
250,Vila Velha,BR,-20.3297,-40.2925,77.97,53,20,10.36,few clouds
251,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,40,12.66,scattered clouds
252,Lamar,US,33.6668,-95.5836,98.64,49,1,6.91,clear sky
253,Lunca,RO,43.8333,24.7667,77.68,44,0,8.39,clear sky
254,Caravelas,BR,-17.7125,-39.2481,71.06,71,29,7.83,scattered clouds
255,Preston,GB,53.7667,-2.7167,71.19,70,21,4.81,few clouds
256,Santa Rosa,PH,14.3122,121.1114,82.38,83,100,16.02,overcast clouds
257,Nanortalik,GL,60.1432,-45.2371,45.12,73,100,13.76,overcast clouds
258,Srednekolymsk,RU,67.45,153.6833,42.1,70,100,16.24,overcast clouds
259,Tezu,IN,27.9167,96.1667,77.22,97,99,2.98,overcast clouds
260,Ndola,ZM,-12.9587,28.6366,38.73,63,0,8.01,clear sky
261,Birao,CF,10.2849,22.7882,71.67,93,100,4.21,light rain
262,Ola,RU,59.5833,151.2833,54.01,95,100,4.43,light rain
263,Zhigansk,RU,66.7697,123.3711,58.62,66,38,8.61,scattered clouds
264,Lasa,IT,46.6166,10.7002,65.28,89,67,2.28,broken clouds
265,Chokwe,MZ,-24.5333,32.9833,56.8,86,5,5.66,clear sky
266,Richards Bay,ZA,-28.783,32.0377,57.54,83,0,6.87,clear sky
267,Omsukchan,RU,62.5333,155.8,50.86,99,100,6.42,light rain
268,Copiapo,CL,-27.3667,-70.3333,56.89,38,0,6.67,clear sky
269,Vao,NC,-22.6667,167.4833,71.38,70,54,15.75,broken clouds
270,Huntington,US,38.4193,-82.4452,91.06,66,75,5.75,broken clouds
